config,arrival_multiplier,arrival_rate,throughput_mean,throughput_low,throughput_high,queue_mean,cycle_mean,unstable,scenario_key
Current State,0.6,60.0,59.23118641412658,57.71910380856613,60.743269019687034,0.47784656707909523,10.051256442439897,False,warehouse
Current State,0.8,80.0,78.84579635010509,76.99471216520256,80.69688053500762,3.261531703753304,13.104411751971517,False,warehouse
Current State,1.0,100.0,86.48959073293945,85.1655706968975,87.81361076898139,50.26516878876656,50.3906488428809,False,warehouse
Current State,1.2,120.0,84.92957594934724,83.71319633085406,86.14595556784042,122.54613689251508,107.21324435668414,False,warehouse
Current State,1.5,150.0,82.88341592625702,81.66147116610257,84.10536068641146,188.5764854334795,158.4584526600623,True,warehouse
Add 2 Pickers,0.6,60.0,59.991920651455516,58.65454502028383,61.329296282627205,0.03936496722649794,9.67963094913085,False,warehouse
Add 2 Pickers,0.8,80.0,78.93872087935283,77.02622026704309,80.85122149166257,0.24345089430886438,11.355112128108734,False,warehouse
Add 2 Pickers,1.0,100.0,96.12236773578445,93.71107107771674,98.53366439385216,1.1022381379717552,19.513269103768458,False,warehouse
Add 2 Pickers,1.2,120.0,99.70012247111329,97.95133109025083,101.44891385197575,8.560073891538725,56.92509091763153,False,warehouse
Add 2 Pickers,1.5,150.0,97.43757847801726,96.1715788630292,98.70357809300532,75.25102507131884,117.60011211075707,False,warehouse
Zone Picking,0.6,60.0,58.71839231272897,57.605739329787994,59.83104529566995,0.06817579004824106,8.65016319547664,False,warehouse
Zone Picking,0.8,80.0,79.47871778679722,77.86927344372297,81.08816212987146,0.41149881869642435,10.556308972869704,False,warehouse
Zone Picking,1.0,100.0,96.12948965072165,93.89809648871861,98.3608828127247,1.6313159802971307,17.604790687743577,False,warehouse
Zone Picking,1.2,120.0,99.36291334133418,98.24285644078155,100.4829702418868,14.404311039858461,59.634593981439174,False,warehouse
Zone Picking,1.5,150.0,97.57026549813371,96.83000115060307,98.31052984566435,79.71094791586835,107.85981267304635,False,warehouse
Zone + 1 Picker,0.6,60.0,59.3450060582457,58.36610217088649,60.32390994560491,0.020266204089427958,8.718954312756896,False,warehouse
Zone + 1 Picker,0.8,80.0,78.76575041527607,76.50111483808254,81.0303859924696,0.10374111162172153,10.13526156697903,False,warehouse
Zone + 1 Picker,1.0,100.0,94.8268469073486,92.75878602695279,96.8949077877444,0.40980929124993776,14.04516652951545,False,warehouse
Zone + 1 Picker,1.2,120.0,99.99266393984036,97.95936264413983,102.02596523554088,1.3252395663619523,59.55883830879161,False,warehouse
Zone + 1 Picker,1.5,150.0,98.25418212193644,96.47527313515235,100.03309110872053,14.776804958641373,109.54798963111868,False,warehouse
